Sales Register-Itemwise
Date Range: ,From 15/12/2025 to 15/12/2025
Category: ,"All"
Sub Category: ,"All"
Product: ,"All"
UOM: ,"BASE UOM"
DS Type: ,"All"
Salesman: ,"All"
Beat: ,"All"
TL: ,"All"
Transaction Type: ,"All"
"Cagetory","Sub Category","Market SKU","Item Code","Item Name","Batch","PKD","Expiry","UOM","Invoice Qty","Sales Return Qty","MRP Per Pack","Goods Value","Gross Amount","Total Discount","Tax Group Amount","Total","HSNCode","Invoice No.","Sales Return","Invoice / SR  Date","Outlet ID","Outlet Name","Channel Type","Outlet Type","Loyalty Program","RCS ID","UID","DS Id","DS Name","DS Type","Beat","TL Id","TL Name","TL Type"
"03 BISCUIT","MP CREAM","BNC CHOC TWST RS10","FB301246GL","BNC CREAM CHOCOTWIST 49.6+12.4G SF_FB301246GL","B14160125","17/01/2025","15/07/2025","KG","0.0000","-2.2320","10.0000","-279.4248","-258.4679","-20.9569","-46.5242","-304.9921","19053100","I/25-26/008397","SR/25-26/017137","15/12/2025","347SDKM243","OMKAR KIRANA-8692076884","Retail","Grocery","Retail Others","180602825981","C20220003733698","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"03 BISCUIT","MP CREAM","BNC ORNG MST MRP10","FB303248GL","BNC CREAM TANGYORANGE 49.6+8.4GSF_FB303248GL","B14290425","30/04/2025","26/10/2025","KG","0.0000","-2.0880","10.0000","-279.3600","-258.4080","-20.9520","-46.5134","-304.9214","19053100","I/25-26/008397","SR/25-26/017137","15/12/2025","347SDKM243","OMKAR KIRANA-8692076884","Retail","Grocery","Retail Others","180602825981","C20220003733698","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"22 NOODLES","MAGIC MASALA","MAGICMASALARS10","FN1212AB","YIPPEE MAGIC MASALA NOODLES 50G_FN1212AB","R17APR25","17/04/2025","12/01/2026","KG","0.0000","-0.6000","10.0000","-98.6400","-90.4233","-8.2167","-10.8508","-101.2741","19023010","I/25-26/008397","SR/25-26/017137","15/12/2025","347SDKM243","OMKAR KIRANA-8692076884","Retail","Grocery","Retail Others","180602825981","C20220003733698","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"39 CHOCOLATES","SUNFEAST FANTASTIK","SFFNTSTKALMONDRS10","FCH51109","SF FANTASTIK CH ALMOND RS10_FCH51109","HA361B_SA1231554150","30/11/2024","31/12/2099","KG","0.0000","-0.2700","10.0000","-155.2440","-145.9294","-9.3146","-26.2672","-172.1966","18069010","I/25-26/008397","SR/25-26/017137","15/12/2025","347SDKM243","OMKAR KIRANA-8692076884","Retail","Grocery","Retail Others","180602825981","C20220003733698","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"03 BISCUIT","DF FILLS","SF DF CHO&NUTFL 75","FB101320B","DARKFANTASY CHO &NUT FILLS69G CBI_FB101320B","B11240625-1-11310387","24/06/2025","21/12/2025","KG","0.0000","-6.9000","160.0000","-2420.8320","-2420.8320","0.0000","-435.7498","-2856.5818","19053100","I/25-26/020673","SR/25-26/017139","15/12/2025","347SD0325817","JAI CHAVENDA DAIRY","Retail","Grocery","Retail Others","181205182512","C20220006078215","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Nevali_Sushil","347TL21","SANJAY MULEY","TL GR1"
"03 BISCUIT","DF FILLS","SF DF CHO&NUTFL 75","FB101320M","DARKFANTASY CHO &NUT FILLS69G CBI_FB101320M","B11091025-2-134648","09/10/2025","07/04/2026","KG","0.0000","-1.0350","140.0000","-357.1452","-357.1452","0.0000","-17.8572","-375.0024","19053100","I/25-26/048713","SR/25-26/017136","15/12/2025","347SFA052500078","BHAGYALAXMI KIRANA_230030","Retail","Grocery","Retail Others","181205388979","C20220006280164","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"05 CONFECTIONARY","JELLY HANGERS","JELLY 05HNGRASSRTD","FC4099","CANDYMAN ASSORTED JELLY HNGR 387G_FC4099","QJC241025-1-16305694","27/10/2025","21/07/2026","KG","0.0000","-0.3870","180.0000","-156.4547","-146.2851","-10.1696","-7.3142","-153.5993","17049020","I/25-26/048713","SR/25-26/017136","15/12/2025","347SFA052500078","BHAGYALAXMI KIRANA_230030","Retail","Grocery","Retail Others","181205388979","C20220006280164","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"22 NOODLES","MAGIC MASALA","MAGICMASALA90","FN1215TG","YIPPEE MAGICMSLNODLES72.6GSPRINKPR_FN1215TG","D24OCT25-1-040118493","24/10/2025","21/07/2026","KG","0.0000","-0.8712","15.0000","-157.4784","-151.1793","-6.2991","-7.5590","-158.7383","19023010","I/25-26/048713","SR/25-26/017136","15/12/2025","347SFA052500078","BHAGYALAXMI KIRANA_230030","Retail","Grocery","Retail Others","181205388979","C20220006280164","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"50 BREAKFAST CEREALS","BESAN","AS BESAN 500G","FBCBE0500WD","AASHIRVAAD BESAN 500G WEST - MP&GJ_FBCBE0500WD","30A261025-1-16305694","27/10/2025","25/03/2026","KG","0.0000","-5.0000","85.0000","-491.2000","-435.3659","-55.8341","-21.7682","-457.1341","11061090","I/25-26/048713","SR/25-26/017136","15/12/2025","347SFA052500078","BHAGYALAXMI KIRANA_230030","Retail","Grocery","Retail Others","181205388979","C20220006280164","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"03 BISCUIT","MOMS MAGIC","SF MOM MAGIC CA 05","FBIMMCA28T","SF MOMS MAGIC CASW&ALMDGRN 25+3G_FBIMMCA28T","B17191125","20/11/2025","18/05/2026","KG","0.0000","-0.3360","4.5000","-46.2132","-46.2132","0.0000","-2.3106","-48.5238","19053100","I/25-26/053675","SR/25-26/017140","15/12/2025","347SD140063","CHANDRAGUPT MISHTHAN","Retail","Grocery","Retail Others","180601656075","C20220003476132","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Karnik Road_Sushil","347TL21","SANJAY MULEY","TL GR1"
