ROUTE ID, SURVEYOR, QUANTITY (in M), FRESHNESS MONTH, VARIANT DESCRIPTION 
"10617","VIVEK (VMC)",,"NOV","Classic RT"
"10617","VIVEK (VMC)",,"NOV","Classic Double Burst"
"10617","VIVEK (VMC)",,"NOV","Uni Klov Sleeks"
"10617","VIVEK (VMC)",,"NOV","AC L.I.T."
"10617","VIVEK (VMC)",,"NOV","Classic Clove"
"10617","VIVEK (VMC)",,"NOV","GFK Social Red"
"10617","VIVEK (VMC)",,"NOV","GF Spl Mint"
"10617","VIVEK (VMC)",,"NOV","GFP Blue Mint Switch"
"10617","VIVEK (VMC)",,"NOV","Players Mint"
"10617","VIVEK (VMC)",,"NOV","GFK SOCIAL 2POD"
"10617","VIVEK (VMC)",,"NOV","AC NY COOL SLK"
"10617","VIVEK (VMC)",,"NOV","Bristol Spl"
"10617","VIVEK (VMC)",,"NOV","Classic Ice Burst"
"10617","VIVEK (VMC)",,"NOV","GF Neo Smart"
"10617","VIVEK (VMC)",,"NOV","GFK Red"
"10617","VIVEK (VMC)",,"NOV","GFP"
"10617","VIVEK (VMC)",,"NOV","GFP Blue"
"10617","VIVEK (VMC)",,"NOV","Classic BT"
"10617","VIVEK (VMC)",,"NOV","GFP Mint Switch"
"10617","VIVEK (VMC)",,"NOV","NC Deluxe"
"10617","VIVEK (VMC)",,"NOV","GFK Twin Pod"
"10617","VIVEK (VMC)",,"NOV","B&H Gold Blue"
"10617","VIVEK (VMC)",,"NOV","Classic RefT"
"10617","VIVEK (VMC)",,"NOV","GF XPOD"
"10617","VIVEK (VMC)",,"NOV","Classic Connect"
"10617","VIVEK (VMC)",,"NOV","GF Indie Mint"
"10617","VIVEK (VMC)",,"NOV","GFK Mix Pod"
"10617","VIVEK (VMC)",,"NOV","GFSS"
"10617","VIVEK (VMC)",,"NOV","GFK SLK"
"10617","VIVEK (VMC)",,"NOV","Capstan Spl"
"10617","VIVEK (VMC)",,"NOV","Classic Verve"
"10617","VIVEK (VMC)",,"NOV","GFK Blue"
"10617","VIVEK (VMC)",,"NOV","Classic Alphatec"
"10617","VIVEK (VMC)",,"NOV","Classic Verve BT"
"10621","RAJESH JAISWAL (VMC)",,"NOV","B&H Gold Blue"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFK SLK"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic RT"
"10621","RAJESH JAISWAL (VMC)",,"NOV","AC L.I.T."
"10621","RAJESH JAISWAL (VMC)",,"NOV","Bristol Spl"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GF XPOD"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic Clove"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFK Social Red"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic Connect"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GF Indie Mint"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFK Red"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Players Mint"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic Verve BT"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic RefT"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFP Mint Switch"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFP"
"10621","RAJESH JAISWAL (VMC)",,"NOV","NC Deluxe"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Uni Klov Sleeks"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GF Neo Smart"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFP Blue Mint Switch"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic Alphatec"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFK SOCIAL 2POD"
"10621","RAJESH JAISWAL (VMC)",,"NOV","AC NY COOL SLK"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic Ice Burst"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GF Spl Mint"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFK Blue"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFK Mix Pod"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFP Blue"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFK Twin Pod"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Capstan Spl"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic Verve"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic Double Burst"
"10621","RAJESH JAISWAL (VMC)",,"NOV","GFSS"
"10621","RAJESH JAISWAL (VMC)",,"NOV","Classic BT"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic Connect"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GF Spl Mint"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic Double Burst"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic RefT"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic RT"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFP Blue"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Uni Klov Sleeks"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFK SOCIAL 2POD"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic Clove"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Bristol Spl"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic Verve"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFP Mint Switch"
"10622","SANDEEP GUPTA (VMC)",,"NOV","NC Deluxe"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic Verve BT"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic Ice Burst"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GF XPOD"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic Alphatec"
"10622","SANDEEP GUPTA (VMC)",,"NOV","AC NY COOL SLK"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GF Neo Smart"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFK Blue"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFP Blue Mint Switch"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFK SLK"
"10622","SANDEEP GUPTA (VMC)",,"NOV","B&H Gold Blue"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFP"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFK Twin Pod"
"10622","SANDEEP GUPTA (VMC)",,"NOV","AC L.I.T."
"10622","SANDEEP GUPTA (VMC)",,"NOV","Capstan Spl"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Classic BT"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFK Mix Pod"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFK Red"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFSS"
"10622","SANDEEP GUPTA (VMC)",,"NOV","Players Mint"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GFK Social Red"
"10622","SANDEEP GUPTA (VMC)",,"NOV","GF Indie Mint"
"1455","SANJAY PATHAK",,"NOV","GFK SLK"
"1455","SANJAY PATHAK",,"NOV","GFP Blue Mint Switch"
"1455","SANJAY PATHAK",,"NOV","Capstan Spl"
"1455","SANJAY PATHAK",,"NOV","GFP Mint Switch"
"1455","SANJAY PATHAK",,"NOV","GFSS"
"1455","SANJAY PATHAK",,"NOV","AC L.I.T."
"1455","SANJAY PATHAK",,"NOV","GFK Social Red"
"1455","SANJAY PATHAK",,"NOV","GF Indie Mint"
"1455","SANJAY PATHAK",,"NOV","Players Mint"
"1455","SANJAY PATHAK",,"NOV","GF XPOD"
"1455","SANJAY PATHAK",,"NOV","GFK SOCIAL 2POD"
"1455","SANJAY PATHAK",,"NOV","AC NY COOL SLK"
"1455","SANJAY PATHAK",,"NOV","Classic BT"
"1455","SANJAY PATHAK",,"NOV","Classic Connect"
"1455","SANJAY PATHAK",,"NOV","Classic Double Burst"
"1455","SANJAY PATHAK",,"NOV","Classic Ice Burst"
"1455","SANJAY PATHAK",,"NOV","GF Spl Mint"
"1455","SANJAY PATHAK",,"NOV","GFP Blue"
"1455","SANJAY PATHAK",,"NOV","Classic RefT"
"1455","SANJAY PATHAK",,"NOV","GF Neo Smart"
"1455","SANJAY PATHAK",,"NOV","Uni Klov Sleeks"
"1455","SANJAY PATHAK",,"NOV","GFK Blue"
"1455","SANJAY PATHAK",,"NOV","GFK Mix Pod"
"1455","SANJAY PATHAK",,"NOV","GFK Twin Pod"
"1455","SANJAY PATHAK",,"NOV","Classic Alphatec"
"1455","SANJAY PATHAK",,"NOV","B&H Gold Blue"
"1455","SANJAY PATHAK",,"NOV","Bristol Spl"
"1455","SANJAY PATHAK",,"NOV","Classic Verve"
"1455","SANJAY PATHAK",,"NOV","GFK Red"
"1455","SANJAY PATHAK",,"NOV","NC Deluxe"
"1455","SANJAY PATHAK",,"NOV","Classic Verve BT"
"1455","SANJAY PATHAK",,"NOV","Classic RT"
"1455","SANJAY PATHAK",,"NOV","GFP"
"1455","SANJAY PATHAK",,"NOV","Classic Clove"
"1564","ANIL PATHAK",,"NOV","Classic Clove"
"1564","ANIL PATHAK",,"NOV","Players Mint"
"1564","ANIL PATHAK",,"NOV","GF Neo Smart"
"1564","ANIL PATHAK",,"NOV","GF Spl Mint"
